mask_client_identifier,amount1,amount2,rec_date,SMS_text
bf13/3Fb92NQN3Pejei9Eg==,1350,0,2/15/2024,"stay updated about revised minimum balances url a/c 0###700001 debited by npr 1,350.00 on 15/02/2024 18:02:58,cic fee, rp."
BFEFbO8xBHBM4WpjrGMLiw==,850,0,1/13/2024,"your a/c ##01 has been withdrawn by npr 850.00 on 13/01/24 14:26rmk: 98672XXXXX 204553395,2222. av.bal.20281.17.enjoy fd upto 9.60%"
CaRMs797vWJe9l0zQInIKg==,20000,0,1/13/2024,"dear jitlg, your 0###001 credited by npr 20,000.00 on 13/01/2024 18:05:08,rmk:xyzcode xyzcode-24793083:xyzcode."
BFEFbO8xBHBM4WpjrGMLiw==,1206.9,0,1/13/2024,"your a/c ##01 has been withdrawn by npr 1,206.90 on 13/01/24 16:09rmk: 98672XXXXX 204611232,2222. av.bal.19074.27.enjoy fd upto 9.60%"
bzzFF6EQHy9VDlbl0Erh/g==,0,5000,1/13/2024,"dear fqfcy, npr 5,000.00 has been deposited in your a/c 108###11 on 13/01/2024 16:24:56. rmk: 98159XXXXX,nobraj back 5k"
zTDzlt5GHGWFKBrvwKQDSA==,1800,0,1/13/2024,"dear gsvav, ###9011 is debited by npr 1,800.00 on 13/01/2024, remarks: mb/98434XXXXX/204715 av bal: 47778.79. support center:#phone_num"
CaRMs797vWJe9l0zQInIKg==,300000,0,1/13/2024,"dear pfzkq, your 0###001 credited by npr 300,000.00 on 13/01/2024 16:40:02,rmk:164766781 top jung."
CaRMs797vWJe9l0zQInIKg==,195000,0,1/13/2024,"dear oqtyh, your 0###001 credited by npr 195,000.00 on 13/01/2024 16:42:38,rmk:164767112 top jung."
CaRMs797vWJe9l0zQInIKg==,100000,0,1/13/2024,"dear xhtdy, your 0###001 credited by npr 100,000.00 on 13/01/2024 16:47:02,rmk:98482XXXXX mob,sapt."
OWLr0TMWp5TdH8Ii9fWWYA==,506061.48.,1896.96,1/13/2024,"dear qjyit, npr 1,896.96 is deposited in a/c 022#4594 on 13/01/2024 17:03. rmk: 99312401######hs. good baln: npr 506061.48."
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/13/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 credited by 2500 on 2024-01-13 11:42:41.0,ft from sunita patha."
znpkqDjEwydqeqZHKYDzyw==,0,2000,1/13/2024,"dear tcenw,npr 2,000.00 debited from your a/c ###0011 on 13/01/2024 remarks: xyzFinancialinstitution,2794 available bal: 123724.99. update kyc url"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/13/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 credited by 2000 on 2024-01-13 12:26:05.0,xyzcode:ibft:319459387:2."
bV6oDJgaWQU15xITCpVMhA==,0,45000,2/5/2024,"dear kkafc, npr 45,000.00 has been deposited in your a/c 057###11 on 05/02/2024 12:13:27. rmk: snmxp-32833543"
znpkqDjEwydqeqZHKYDzyw==,0,1000,2/5/2024,"dear uwnew,npr 1,000.00 credited in your a/c ###0011 on 05/02/2024 remarks: ramesh dha available bal: 75894.27. update kyc url"
znpkqDjEwydqeqZHKYDzyw==,0,1000,2/5/2024,"dear kivcb,npr 1,000.00 credited in your a/c ###0011 on 05/02/2024 remarks: rachana gy available bal: 76894.27. update kyc url"
cqqIeeNpQ+tNeONXEmVj8g==,500,0,2/5/2024,"received rs.500 from 98666XXXXX for rrn 215188005, asdf. download: url  watch: url"
cqqIeeNpQ+tNeONXEmVj8g==,70,0,2/5/2024,"received rs.70 from 98069XXXXX for rrn 215189449, hguu. download: url  watch: url"
BvMLEj0fCrXkYz1ZmDl/dg==,0,0,2/5/2024,"dear turdt, your installment due for a/c 008##632 is on 2024-02-12,please pay in time.if already paid, ignore this message.thank you."
zTDzlt5GHGWFKBrvwKQDSA==,0,0,1/20/2024,"dear vzugp,happy birthday! warm wishes! we truly appreciate your trust in us."
CaRMs797vWJe9l0zQInIKg==,0,0,1/20/2024,"dear nordc, your verification code for reset device is 787976. don't share this code with anyone ann8uullh9l"
CaRMs797vWJe9l0zQInIKg==,4100,0,1/20/2024,"dear nnebz, your 0###001 debited by npr 4,100.00 on 20/01/2024 16:37:13,rmk:97031XXXXX 207615171,22225000######."
cqqIeeNpQ+tNeONXEmVj8g==,1130,0,1/20/2024,"received rs.1130 from 98274XXXXX for rrn agbr5pmxael, n/a. download: url  watch: url"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/7/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 credited by 600 on 2024-01-07 13:29:31.0,xyzcode:ibft:315087168:2."
BFEFbO8xBHBM4WpjrGMLiw==,1500,0,1/7/2024,"your a/c ##01 has been withdrawn by npr 1,500.00 on 07/01/24 18:48rmk: 98672XXXXX 98272XXXXX. av.bal.6906.34.enjoy fd upto 9.60%"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/7/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 debited by 1090 on 2024-01-07 19:29:25.0,202122126-qr,prashan."
cLveLm0YB1mEOxp3FRXMrQ==,310,0,1/28/2024,"xyzcode ac 0###15194361 debited by npr 310.00 on 28/01/2024 for fund trf to xyzFinancialinstitution ltd (esew-98480XXXXX,39543"
BFEFbO8xBHBM4WpjrGMLiw==,4510,0,1/28/2024,"your a/c ##01 has been withdrawn by npr 4,510.00 on 28/01/24 16:46rmk: 98672XXXXX xyzcode;01807. av.bal.81511.97.enjoy fd upto 9.00%"
bzzFF6EQHy9VDlbl0Erh/g==,0,1000,1/28/2024,"dear uroga, npr 1,000.00 has been withdrawn from your a/c 108###11 on 28/01/2024 16:58:47. rmk: cwd atm @ xyzcode illam atm"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/28/2024,"a/c 099#01 credited by 10000 on 2024-01-28 14:32:28.0,xyzcode:ibft:330336969:2."
cLveLm0YB1mEOxp3FRXMrQ==,1800,0,2/22/2024,"xyzcode ac 0###15194361 debited by npr 1,800.00 on 22/02/2024 for fund trf to xyzFinancialinstitution ltd (esew-98145XXXXX,42109/fun mob/xyzcodemob01"
Cgg5oYSu2KxJPSRbC7Kuog==,1000,0,2/22/2024,"dear bptbu, ###9041 is debited by npr 1,000.00 on 22/02/2024, remarks: atm/459521x6310/ctzw av bal: 9421.46. support center:#phone_num"
BFEFbO8xBHBM4WpjrGMLiw==,702.3,0,2/22/2024,"your a/c ##01 has been withdrawn by npr 702.30 on 22/02/24 09:26rmk: 98672XXXXX 223234226,2222. av.bal.5719.67.enjoy fd upto 8.50%"
CE1g0h7I0lmvI2xN0CrTuw==,1000,0,2/22/2024,"your a/c ##01 has been withdrawn by npr 1,000.00 on 22/02/24 10:08rmk: 98677XXXXX 98194XXXXX. av.bal.70924.69.enjoy fd upto 8.50%"
zTDzlt5GHGWFKBrvwKQDSA==,1000,0,1/19/2024,"dear fsscw, ###9011 is debited by npr 1,000.00 on 19/01/2024, remarks: mb/98434XXXXX/xyzFinancialinstitution, av bal: 72124.79. support center:#phone_num"
zTDzlt5GHGWFKBrvwKQDSA==,600,0,1/19/2024,"dear yjagb, ###9011 is credited by npr 600.00 on 19/01/2024, remarks: mb/98497XXXXX/ft to  av bal: 72724.79. support center:#phone_num"
grEQACGtnSIBFvM7m9Tn1w==,0,0,1/25/2024,convert your previous transaction of npr 35000.0 into emi?
OWLr0TMWp5TdH8Ii9fWWYA==,450869.14,110018.85,1/25/2024,"dear zfsye, npr 110,018.85 is withdrawn from a/c 022#4594 on 25/01/2024 10:06. rmk: 167547403. good baln: npr 450869.14"
grEQACGtnSIBFvM7m9Tn1w==,34724.25,0,1/23/2024,"a/c 0###800001 credited by npr 34,724.25 on 23/01/2024 17:31:34,nepal elver."
Cgg5oYSu2KxJPSRbC7Kuog==,10000,0,2/20/2024,"dear rsevh, ###9041 is credited by npr 10,000.00 on 20/02/2024, remarks: mb/xyzFinancialinstitution/wd:17084443 av bal: 10421.46. support center:#phone_num"
CE1g0h7I0lmvI2xN0CrTuw==,1200,0,2/20/2024,"your a/c ##01 has been withdrawn by npr 1,200.00 on 20/02/24 22:56rmk: 98677XXXXX 98194XXXXX. av.bal.71924.69.enjoy fd upto 8.50%"
CE1g0h7I0lmvI2xN0CrTuw==,1200,0,2/20/2024,"your a/c ##01 has been withdrawn by npr 1,200.00 on 20/02/24 23:42rmk: 98677XXXXX 98194XXXXX. av.bal.71924.69.enjoy fd upto 8.50%"
cLveLm0YB1mEOxp3FRXMrQ==,1000,0,2/29/2024,"xyzcode ac 0###15194361 credited by npr 1,000.00 on 29/02/2024 for fund trf frm a/c payable ibf-fon:ibft:3554550/fun fon/xyzcodeibft1"
cqqIeeNpQ+tNeONXEmVj8g==,170,0,2/29/2024,"received rs.170 from 98037XXXXX for rrn 226963002, ml. download: url  watch: url"
bwPItYt7s6lGPLaxPIsp/g==,0,100000,2/29/2024,"dear oaywj,npr 100,000.00 credited in your a/c ###0014 on 29/02/2024 remarks: snmxp34285 available bal: 168107.92. update kyc url"
CjUlY+MarJKGnNXpAulc8w==,0,6010,2/29/2024,"dear koozw,npr 6,010.00 debited from your a/c ###0017 on 29/02/2024 remarks: upto falgu available bal: 14754.4. update kyc url"
bV6oDJgaWQU15xITCpVMhA==,0,9000,2/29/2024,"dear mgcdl, npr 9,000.00 has been deposited in your a/c 057###11 on 29/02/2024 17:22:41. rmk: nicxp-113013884"
Cgg5oYSu2KxJPSRbC7Kuog==,4000,0,2/29/2024,"dear muixt, ###9041 is debited by npr 4,000.00 on 29/02/2024, remarks: atm/459521x6310/ctzw av bal: 12222.46. support center:#phone_num"
OWLr0TMWp5TdH8Ii9fWWYA==,413464.61,40010,2/29/2024,"dear saibc, npr 40,010.00 is withdrawn from a/c 022#4594 on 29/02/2024 08:02. rmk: 98418XXXXX. good baln: npr 413464.61"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/5/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 credited by 4450 on 2024-01-05 16:02:54.0,xyzcode:ibft:313890307:2."
bV6oDJgaWQU15xITCpVMhA==,0,11865,1/30/2024,"dear ujplw, npr 11,865.00 has been withdrawn from your a/c 057###11 on 30/01/2024 10:14:36. rmk: convergent,31379932"
grEQACGtnSIBFvM7m9Tn1w==,232,0,1/30/2024,xyzcode ac 0####phone_num credited by npr 232.00 on 30/01/2024 for ips/8.50%nimb-div75/76dc1431/dividend payable f.y.
grEQACGtnSIBFvM7m9Tn1w==,2,0,1/30/2024,xyzcode ac 0####phone_num debited by npr 2.00 on 30/01/2024 for ips fund trf charge
bwPItYt7s6lGPLaxPIsp/g==,400000,0,1/30/2024,"your a/c ###001 has been credited by npr 400,000.00 on 30/01/2024 11:30.remarks: cash depo by buddha lal raj. xyzFinancialinstitution coming soon."
CjUlY+MarJKGnNXpAulc8w==,0,2800,1/30/2024,"dear fwrvh,npr 2,800.00 debited from your a/c ###0017 on 30/01/2024 remarks: xyzFinancialinstitution,2898 available bal: 37905.4. update kyc url"
bzzFF6EQHy9VDlbl0Erh/g==,0,1000,1/27/2024,"dear dluxt, npr 1,000.00 has been deposited in your a/c 108###11 on 27/01/2024 13:26:05. rmk: 98159XXXXX,nsj"
bzzFF6EQHy9VDlbl0Erh/g==,0,1000,1/27/2024,"dear bcowx, npr 1,000.00 has been withdrawn from your a/c 108###11 on 27/01/2024 13:26:48. rmk: cwd atm @ xyzcode illam atm"
bV6oDJgaWQU15xITCpVMhA==,0,5000,1/27/2024,"dear npevc, npr 5,000.00 has been deposited in your a/c 057###11 on 27/01/2024 13:48:45. rmk: nicxp-105099495"
zTDzlt5GHGWFKBrvwKQDSA==,5000,0,1/27/2024,"dear fhzxq, ###9011 is debited by npr 5,000.00 on 27/01/2024, remarks: mb/98434XXXXX/210600 av bal: 26861.59. support center:#phone_num"
CE1g0h7I0lmvI2xN0CrTuw==,0,0,1/1/2024,please collect policy book of no nf30865 from agency office and deliver to the policy owner.kindly send us policy receipt.metlife.
ZXzx9IEGggpnQYgSO8orBw==,8469.57,0,1/1/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 0###100001 credited by npr 8,469.57 on 01/01/2024 08:52:16,apr adj 79-."
OWLr0TMWp5TdH8Ii9fWWYA==,430759.14,20010,1/29/2024,"dear donim, npr 20,010.00 is withdrawn from a/c 022#4594 on 29/01/2024 16:00. rmk: 98418XXXXX. good baln: npr 430759.14"
Cgg5oYSu2KxJPSRbC7Kuog==,1080,0,1/29/2024,"dear bzrsg, ###9041 is credited by npr 1,080.00 on 29/01/2024, remarks: mb/xyzFinancialinstitution/nicxp-10551 av bal: 9544.86. support center:#phone_num"
zTDzlt5GHGWFKBrvwKQDSA==,0,0,1/29/2024,"dear pcrdj, your fixed deposit is expiring on 08/02/2024.please contact/visit your nearest branch for renewal."
Cgg5oYSu2KxJPSRbC7Kuog==,9510,0,1/29/2024,"dear naack, ###9041 is debited by npr 9,510.00 on 29/01/2024, remarks: mb/98662XXXXX/adblnp av bal: 34.86. support center:#phone_num"
cqqIeeNpQ+tNeONXEmVj8g==,200,0,1/29/2024,"received rs.200 from 98054XXXXX for rrn 211950088, payment. download: url  watch: url"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/7/2024,"a/c 043#01 debited by 45000 on 2024-02-07 08:09:49.0,215698229-qr,birgunj."
cLveLm0YB1mEOxp3FRXMrQ==,1500,0,2/7/2024,"xyzcode ac 0###15194361 credited by npr 1,500.00 on 07/02/2024 for fund trf frm a/c payable ibf-fon:ibft:3378083"
zTDzlt5GHGWFKBrvwKQDSA==,550,0,2/7/2024,"dear zzsvy, ###9011 is debited by npr 550.00 on 07/02/2024, remarks: mb/98434XXXXX/ft to  av bal: 18635.99. support center:#phone_num"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/7/2024,"a/c 043#01 debited by 1000 on 2024-02-07 17:03:44.0,26884835,birgunj,qr ."
BvMLEj0fCrXkYz1ZmDl/dg==,8500,0,2/7/2024,"dear tkjbd, a/c 001###0005 deposited by npr 8,500.00 on 07/02/2024 10:26:59. rmk: self  av bal:8812.06"
BvMLEj0fCrXkYz1ZmDl/dg==,8500,0,2/7/2024,"dear gnaoy, a/c 001###0005 withdrawn by npr 8,500.00 on 07/02/2024 10:34:21. rmk: 98580XXXXX av bal:312.06"
bwPItYt7s6lGPLaxPIsp/g==,200000,0,2/7/2024,"your a/c ###001 has been debited by npr 200,000.00 on 07/02/2024 10:36.remarks: home chq. f0018629275 dhani. xyzFinancialinstitution coming soon."
znpkqDjEwydqeqZHKYDzyw==,0,195,2/9/2024,"dear zyjom,npr 195.00 debited from your a/c ###0011 on 09/02/2024 remarks: medicine,j available bal: 111983.81. update kyc url"
BvMLEj0fCrXkYz1ZmDl/dg==,2142,0,2/9/2024,"dear dxptt, a/c 001###0005 withdrawn by npr 2,142.00 on 09/02/2024 15:12:11. rmk: pf magh av bal:34247.06"
bwPItYt7s6lGPLaxPIsp/g==,100000,0,2/9/2024,"your a/c ###001 has been debited by npr 100,000.00 on 09/02/2024 13:46.remarks: home chq. a0018629276 dhani. xyzFinancialinstitution coming soon."
CE1g0h7I0lmvI2xN0CrTuw==,19659,0,2/9/2024,"your a/c ##01 has been deposited by npr 19,659.00 on 09/02/24 16:41rmk: salary for the month of m. av.bal.73124.69.enjoy fd upto 9.00%"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/9/2024,"a/c 043#01 debited by 750 on 2024-02-09 18:47:24.0,217069358-qr,prashan."
c3UcwMxbpoEoLFwni5UZ8A==,0,300,2/27/2024,"dear nfgeb,npr 300.00 credited in your a/c ###0010 on 27/02/2024 remarks: law:170900 available bal: 3809.61. update kyc url"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/27/2024,"apply for kumari sabal yojana url a/c 043#01 debited by 1000 on 2024-02-27 10:54:57.0,ft from sapnil katuw."
CjUlY+MarJKGnNXpAulc8w==,20000,0,2/27/2024,"dear fexfs, your #98202001 has been credited by npr 20,000.00 on 27/02/24. remarks:fon:ibft:354120509:3058:xyzcode:xyzcode:shrijana"
CjUlY+MarJKGnNXpAulc8w==,0,20010,2/27/2024,"dear ctpqu,npr 20,010.00 debited from your a/c ###0017 on 27/02/2024 remarks: ss,ibft ss available bal: 20764.4. update kyc url"
ZZSwbnodFM9T0v/59+pLyQ==,0,0,2/27/2024,need funds in your demat account for ipo purchase?
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/27/2024,"apply for kumari sabal yojana url a/c 043#01 credited by 600 on 2024-02-27 22:31:49.0,ft from sunita patha."
znpkqDjEwydqeqZHKYDzyw==,0,240055,2/27/2024,"dear boqku,npr 240,055.00 credited in your a/c ###0011 on 27/02/2024 remarks: medicaladv available bal: 312456.81. update kyc url"
ZZSwbnodFM9T0v/59+pLyQ==,25047,0,2/27/2024,"dear qsadl, your ##phone_num has been credited by npr 25,047.00 on 27/02/24. remarks:(sal for magh 080)."
CjUlY+MarJKGnNXpAulc8w==,0,15010,2/27/2024,"dear gijpo,npr 15,010.00 debited from your a/c ###0017 on 27/02/2024 remarks: ss,ibft ss available bal: 40774.4. update kyc url"
CE1g0h7I0lmvI2xN0CrTuw==,3510,0,2/2/2024,"your a/c ##01 has been withdrawn by npr 3,510.00 on 02/02/24 17:31rmk: 98677XXXXX xyzcode;0461. av.bal.37965.69.enjoy fd upto 9.00%"
OWLr0TMWp5TdH8Ii9fWWYA==,399990,43246.84,2/2/2024,"dear cbwzk, npr 43,246.84 is withdrawn from a/c 022#4594 on 02/02/2024 13:10. rmk: 98418XXXXX. good baln: npr 399990.00"
bV6oDJgaWQU15xITCpVMhA==,0,1480,2/2/2024,"dear mmaxq, npr 1,480.00 has been withdrawn from your a/c 057###11 on 02/02/2024 10:50:43. rmk: cmpay,31691456"
bwPItYt7s6lGPLaxPIsp/g==,150000,0,2/2/2024,"your a/c ###001 has been debited by npr 150,000.00 on 02/02/2024 11:15.remarks: home chq. k0018629274 shant. xyzFinancialinstitution coming soon."
cqqIeeNpQ+tNeONXEmVj8g==,100,0,2/2/2024,"received rs.100 from 98475XXXXX for rrn 213724948, bhawani. download: url  watch: url"
OWLr0TMWp5TdH8Ii9fWWYA==,443236.84,11601,1/31/2024,"dear cypvl, npr 11,601.00 is withdrawn from a/c 022#4594 on 31/01/2024 13:15. rmk: 98418XXXXX. good baln: npr 443236.84"
cLveLm0YB1mEOxp3FRXMrQ==,1500,0,1/31/2024,"xyzcode ac 0###15194361 credited by npr 1,500.00 on 31/01/2024 for fund trf frm padma kumari th-r"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/31/2024,"a/c 043#01 debited by 2000 on 2024-01-31 19:47:44.0,212866260-qr,prashan."
ZZSwbnodFM9T0v/59+pLyQ==,1000,0,2/10/2024,"xyzcode ac ###500833360 debited by npr 1,000.00 on 10/02/2024 for cash withdrawl  @ 'xyzcode007030n damak amda"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/10/2024,"a/c 099#01 credited by 10000 on 2024-02-10 20:08:25.0,xyzcode:ibft:340424118:3."
cqqIeeNpQ+tNeONXEmVj8g==,100,0,2/10/2024,"received rs.100 from 98474XXXXX for rrn 217616917, abc. download: url  watch: url"
CjUlY+MarJKGnNXpAulc8w==,13805.16,0,2/10/2024,"dear zjmok, your #98701001 has been debited by npr 13,805.16 on 10/02/24. remarks:(loan recovery for0560407098hll001)."
ZZSwbnodFM9T0v/59+pLyQ==,1010,0,2/10/2024,"dear rrpxx, your ##phone_num has been debited by npr 1,010.00 on 10/02/24. remarks:ibft/24258046/xyzcode;55500######/for pobo"
BFEFbO8xBHBM4WpjrGMLiw==,683,0,2/10/2024,"your a/c ##01 has been withdrawn by npr 683.00 on 10/02/24 17:11rmk: 98672XXXXX 217459194,2222. av.bal.11518.97.enjoy fd upto 9.00%"
CjUlY+MarJKGnNXpAulc8w==,0,33399,2/23/2024,"dear wcxdp,npr 33,399.00 credited in your a/c ###0017 on 23/02/2024 remarks: salary of  available bal: 55784.4. update kyc url"
c3UcwMxbpoEoLFwni5UZ8A==,0,3000,2/23/2024,"dear vlfcr,npr 3,000.00 credited in your a/c ###0010 on 23/02/2024 remarks: law:170866 available bal: 3059.61. update kyc url"
c3UcwMxbpoEoLFwni5UZ8A==,0,350,2/23/2024,"dear lurkf,npr 350.00 debited from your a/c ###0010 on 23/02/2024 remarks: renewmbank available bal: 2709.61. update kyc url"
Cgg5oYSu2KxJPSRbC7Kuog==,3110,0,2/23/2024,"dear jpxhm, ###9041 is debited by npr 3,110.00 on 23/02/2024, remarks: mb/98662XXXXX/adblnp av bal: 4296.46. support center:#phone_num"
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/12/2024,we request you to pay  your emi amount  npr 29918.17 today to avoid penalty charges. please ignore if already paid.
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/12/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 debited by 29918 on 2024-01-12 13:25:37.0,ft from kamala rai t."
BvMLEj0fCrXkYz1ZmDl/dg==,2010,0,1/12/2024,"dear qiotq, a/c 001###0005 withdrawn by npr 2,010.00 on 12/01/2024 13:35:19. rmk: xyzcode;413 av bal:2861.06"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/12/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 043#01 debited by 5000 on 2024-01-12 13:37:57.0,24692744,birgunj,qr ."
cqqIeeNpQ+tNeONXEmVj8g==,530,0,1/12/2024,"received rs.530 from 98114XXXXX for rrn 204082982, sapati. download: url  watch: url"
zTDzlt5GHGWFKBrvwKQDSA==,37400,0,1/26/2024,"dear zleku, ###9011 is debited by npr 37,400.00 on 26/01/2024, remarks: mb/98434XXXXX/210281 av bal: 31861.59. support center:#phone_num"
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/26/2024,"a/c 043#01 debited by 1500 on 2024-01-26 18:05:20.0,xyzFinancialinstitution,25895364,98071."
ZXzx9IEGggpnQYgSO8orBw==,0,0,1/26/2024,"a/c 043#01 debited by 1050 on 2024-01-26 18:17:22.0,210457047-qr,prashan."
zTDzlt5GHGWFKBrvwKQDSA==,1500,0,1/6/2024,"dear nssnr, ###9011 is debited by npr 1,500.00 on 06/01/2024, remarks: mb/98434XXXXX/201344 av bal: 18056.04. support center:#phone_num"
bzzFF6EQHy9VDlbl0Erh/g==,0,2000,1/6/2024,"dear adhqa, npr 2,000.00 has been withdrawn from your a/c 108###11 on 06/01/2024 18:43:50. rmk: cwd atm @ xyzcode illam atm"
cqqIeeNpQ+tNeONXEmVj8g==,500,0,1/6/2024,"received rs.500 from 98660XXXXX for rrn 201558811, aba. download: url  watch: url"
bzzFF6EQHy9VDlbl0Erh/g==,0,2010,1/6/2024,"dear hiyak, npr 2,010.00 has been deposited in your a/c 108###11 on 06/01/2024 18:38:00. rmk: 98159XXXXX,hwhw"
bV6oDJgaWQU15xITCpVMhA==,0,2600,2/17/2024,"dear hztpd, npr 2,600.00 has been deposited in your a/c 057###11 on 17/02/2024 07:52:42. rmk: nicxp-110017829"
bV6oDJgaWQU15xITCpVMhA==,0,1400,2/17/2024,"dear vochq, npr 1,400.00 has been deposited in your a/c 057###11 on 17/02/2024 07:54:18. rmk: wd:1708135######:xyzcode"
Cgg5oYSu2KxJPSRbC7Kuog==,2000,0,2/3/2024,"dear xjdcx, ###9041 is debited by npr 2,000.00 on 03/02/2024, remarks: mb/98662XXXXX/ft to  av bal: 1025.06. support center:#phone_num"
zTDzlt5GHGWFKBrvwKQDSA==,1700,0,2/3/2024,"dear nvjap, ###9011 is debited by npr 1,700.00 on 03/02/2024, remarks: mb/98434XXXXX/284538 av bal: 19283.99. support center:#phone_num"
BFEFbO8xBHBM4WpjrGMLiw==,3450,0,2/3/2024,"your a/c ##01 has been withdrawn by npr 3,450.00 on 03/02/24 14:20rmk: 98672XXXXX 98453XXXXX. av.bal.14233.97.enjoy fd upto 9.00%"
cqqIeeNpQ+tNeONXEmVj8g==,565,0,2/4/2024,"received rs.565 from 98679XXXXX for rrn 214662631, hospital. download: url  watch: url"
bV6oDJgaWQU15xITCpVMhA==,0,5500,2/4/2024,"dear qleuo, npr 5,500.00 has been deposited in your a/c 057###11 on 04/02/2024 21:21:44. rmk: xyzcodekaxp-28904899"
cLveLm0YB1mEOxp3FRXMrQ==,50,0,2/4/2024,"xyzcode ac 0###15194361 debited by npr 50.00 on 04/02/2024 for fund trf to f1 soft internationa-ncell topup,4020"
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/4/2024,"a/c 043#01 credited by 4100 on 2024-02-04 22:09:14.0,xyzcode:ibft:335807013:2."
CaRMs797vWJe9l0zQInIKg==,30000,0,2/4/2024,"dear clzcw, your 0###001 credited by npr 30,000.00 on 04/02/2024 11:38:49,rmk:xyzcode xyzcode-26591837:xyzcode."
cLveLm0YB1mEOxp3FRXMrQ==,6010,0,2/4/2024,"xyzcode ac 0###15194361 debited by npr 6,010.00 on 04/02/2024 for fund trf to a/c payable ibft (in-khalti,xyzcodeka;"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/4/2024,"a/c 099#01 debited by 1000 on 2024-02-04 10:48:14.0,xyzFinancialinstitution,26586039,98638."
OWLr0TMWp5TdH8Ii9fWWYA==,522013.61.,122023.61,2/4/2024,"dear bfduu, npr 122,023.61 is deposited in a/c 022#4594 on 04/02/2024 06:21. rmk: 171455476. good baln: npr 522013.61."
grEQACGtnSIBFvM7m9Tn1w==,0,0,2/4/2024,"a/c 013#01 debited by 560 on 2024-02-04 18:01:27.0,214610103-qr,prakash."
cqqIeeNpQ+tNeONXEmVj8g==,665,0,2/19/2024,"received rs.665 from 98194XXXXX for rrn 221753085, trf. download: url  watch: url"
BFEFbO8xBHBM4WpjrGMLiw==,2300,0,2/19/2024,"your a/c ##01 has been withdrawn by npr 2,300.00 on 19/02/24 15:15rmk: 98672XXXXX 221921701,2222. av.bal.7236.97.enjoy fd upto 8.50%"
cqqIeeNpQ+tNeONXEmVj8g==,245,0,2/19/2024,"received rs.245 from 98639XXXXX for rrn rjprzqlxjr3, n/a. download: url  watch: url"
Cgg5oYSu2KxJPSRbC7Kuog==,2000,0,2/19/2024,"dear iiesk, ###9041 is debited by npr 2,000.00 on 19/02/2024, remarks: mb/98662XXXXX/ft to  av bal: 921.46. support center:#phone_num"
Cgg5oYSu2KxJPSRbC7Kuog==,2000,0,2/24/2024,"dear vvlcu, ###9041 is debited by npr 2,000.00 on 24/02/2024, remarks: mb/98662XXXXX/ft to  av bal: 2296.46. support center:#phone_num"
c3UcwMxbpoEoLFwni5UZ8A==,0,150,2/24/2024,"dear srlyg,npr 150.00 credited in your a/c ###0010 on 24/02/2024 remarks: law:170875 available bal: 2859.61. update kyc url"
ZZSwbnodFM9T0v/59+pLyQ==,1010,0,2/24/2024,"dear ihupj, your ##phone_num has been debited by npr 1,010.00 on 24/02/24. remarks:ibft/26172074/xyzcode;55500######/for pobo"
ZZSwbnodFM9T0v/59+pLyQ==,1000,0,2/24/2024,"xyzcode ac ###500833360 credited by npr 1,000.00 on 24/02/2024 for fund trf frm a/c payable ibf-fon:ibft:3516177/fun fon/xyzcodeibft1"
c3UcwMxbpoEoLFwni5UZ8A==,0,450,2/24/2024,"dear xopan,npr 450.00 credited in your a/c ###0010 on 24/02/2024 remarks: law:170877 available bal: 3309.61. update kyc url"
bwPItYt7s6lGPLaxPIsp/g==,0,350,2/24/2024,"dear vfefr,npr 350.00 debited from your a/c ###0014 on 24/02/2024 remarks: 3rd year d available bal: 56107.92. update kyc url"
cqqIeeNpQ+tNeONXEmVj8g==,80,0,2/13/2024,"received rs.80 from 98661XXXXX for rrn 218668442, kssksj. download: url  watch: url"
